number_of_examples,time
2,0.15
10,0.63
20,1.24
30,1.86
40,2.46
50,3.05
60,3.67
70,4.3
80,5.13
90,5.77
100,6.44
110,6.75
120,7.3
130,7.93
140,8.6
150,9.18
160,9.76
170,10.44
180,11.09
190,11.64
200,12.26
210,12.9
220,13.55
230,14.09
240,14.73
250,15.33
260,16.0
270,16.7
280,17.4
290,17.79
300,18.51
310,19.21
320,19.81
330,20.51
340,21.04
350,21.72
360,22.39
370,22.99
380,23.7
390,24.28
400,24.92
410,25.65
420,26.1
430,26.7
440,27.32
450,28.14
460,28.79
470,29.54
480,30.14
490,30.83
500,31.38
