task,#examples,#sketched,time(s)
tson,30,5,0.32
tson,40,5,0.38
tson,50,5,0.45
tson,60,5,0.51
tson,70,5,0.57
tson,80,5,0.63
tson,90,5,0.87
tson,100,5,0.75
ours,2,5,0.09
ours,4,5,0.11
ours,6,5,0.13
ours,8,5,0.15
ours,10,5,0.18
ours,12,5,0.2
ours,14,5,0.22
ours,16,5,0.26
ours,18,5,0.28
ours,20,5,0.3
ours,20,5,0.3
ours,30,5,0.42
ours,40,5,0.54
ours,50,5,0.66
ours,60,5,0.78
ours,70,5,0.9
ours,80,5,1.02
ours,90,5,1.15
ours,100,5,1.28
potassco,2,5,0.52
potassco,4,5,0.37
potassco,6,5,0.41
potassco,8,5,0.45
potassco,10,5,0.39
potassco,12,5,0.44
potassco,14,5,0.48
potassco,16,5,0.5
potassco,18,5,0.53
potassco,20,5,0.58
potassco,20,5,0.57
potassco,30,5,0.84
potassco,40,5,0.82
potassco,50,5,0.97
potassco,60,5,1.13
potassco,70,5,1.28
potassco,80,5,1.62
potassco,90,5,1.59
potassco,100,5,1.74
hakank,2,5,0.17
hakank,4,5,0.15
hakank,6,5,0.15
hakank,8,5,0.18
hakank,10,5,0.2
hakank,12,5,0.22
hakank,14,5,0.24
hakank,16,5,0.26
hakank,18,5,0.28
hakank,20,5,0.3
hakank,20,5,0.3
hakank,30,5,0.39
hakank,40,5,0.5
hakank,50,5,0.61
hakank,60,5,0.72
hakank,70,5,0.83
hakank,80,5,1.1
hakank,90,5,1.05
hakank,100,5,1.15
tson,2,5,0.64
tson,4,5,0.62
tson,6,5,0.68
tson,8,5,0.72
tson,10,5,0.79
tson,12,5,0.95
tson,14,5,1.11
tson,16,5,0.99
tson,18,5,1.04
tson,20,5,1.08
tson,20,5,1.26
tson,30,5,1.34
tson,40,5,1.57
tson,50,5,2.0
tson,60,5,2.05
tson,70,5,2.51
tson,80,5,2.57
tson,90,5,2.98
tson,100,5,3.24
ours,2,5,0.08
ours,4,5,0.08
ours,6,5,0.09
ours,8,5,0.09
ours,10,5,0.1
ours,12,5,0.11
ours,14,5,0.12
ours,16,5,0.13
ours,18,5,0.14
ours,20,5,0.15
ours,20,5,0.14
ours,30,5,0.18
ours,40,5,0.22
ours,50,5,0.26
ours,60,5,0.28
ours,70,5,0.33
ours,80,5,0.37
ours,90,5,0.41
ours,100,5,0.45
potassco,2,5,0.61
potassco,4,5,0.72
potassco,6,5,0.86
potassco,8,5,1.02
potassco,10,5,1.19
potassco,12,5,1.4
potassco,14,5,1.53
potassco,16,5,1.91
potassco,18,5,1.9
potassco,20,5,2.05
potassco,20,5,2.09
potassco,30,5,2.88
potassco,40,5,3.9
potassco,50,5,4.56
potassco,60,5,5.4
potassco,70,5,6.43
potassco,80,5,7.12
potassco,90,5,8.15
potassco,100,5,9.06
hakank,2,5,0.08
hakank,4,5,0.08
hakank,6,5,0.08
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.09
hakank,18,5,0.09
hakank,20,5,0.09
hakank,20,5,0.09
hakank,30,5,0.1
hakank,40,5,0.12
hakank,50,5,0.13
hakank,60,5,0.14
hakank,70,5,0.16
hakank,80,5,0.17
hakank,90,5,0.18
hakank,100,5,0.19
tson,2,5,0.09
tson,4,5,0.08
tson,6,5,0.07
tson,8,5,0.07
tson,10,5,0.08
tson,12,5,0.08
tson,14,5,0.08
tson,16,5,0.09
tson,18,5,0.09
tson,20,5,0.09
tson,20,5,0.09
tson,30,5,0.1
tson,40,5,0.11
tson,50,5,0.12
tson,60,5,0.14
tson,70,5,0.15
tson,80,5,0.16
tson,90,5,0.17
tson,100,5,0.18
ours,2,5,0.36
ours,4,5,0.51
ours,6,5,0.7
ours,8,5,0.87
ours,10,5,1.02
ours,12,5,1.17
ours,14,5,1.36
ours,16,5,1.55
ours,18,5,1.67
ours,20,5,1.89
ours,20,5,1.88
ours,30,5,2.82
ours,40,5,3.75
ours,50,5,4.67
ours,60,5,5.78
ours,70,5,6.39
ours,80,5,7.27
ours,90,5,8.27
ours,100,5,9.22
potassco,2,5,0.09
potassco,4,5,0.1
potassco,6,5,0.12
potassco,8,5,0.14
potassco,10,5,0.16
potassco,12,5,0.17
potassco,14,5,0.19
potassco,16,5,0.21
potassco,18,5,0.23
potassco,20,5,0.25
potassco,20,5,0.25
potassco,30,5,0.35
potassco,40,5,0.43
potassco,50,5,0.52
potassco,60,5,0.62
potassco,70,5,0.71
potassco,80,5,0.8
potassco,90,5,0.91
potassco,100,5,0.99
hakank,2,5,0.08
hakank,4,5,0.07
hakank,6,5,0.07
hakank,8,5,0.08
hakank,10,5,0.08
hakank,12,5,0.09
hakank,14,5,0.09
hakank,16,5,0.1
hakank,18,5,0.11
hakank,20,5,0.12
hakank,20,5,0.12
hakank,30,5,0.14
hakank,40,5,0.16
hakank,50,5,0.19
hakank,60,5,0.21
hakank,70,5,0.24
hakank,80,5,0.26
hakank,90,5,0.29
hakank,100,5,0.32
tson,2,5,1.68
tson,4,5,1.57
tson,6,5,1.61
tson,8,5,1.6
tson,10,5,1.66
tson,12,5,1.91
tson,14,5,1.77
tson,16,5,2.08
tson,18,5,2.31
tson,20,5,2.17
tson,20,5,2.18
tson,30,5,2.71
tson,40,5,3.1
tson,50,5,3.26
tson,60,5,3.79
tson,70,5,4.13
tson,80,5,4.57
tson,90,5,4.86
tson,100,5,5.29
ours,2,5,0.14
ours,4,5,0.15
ours,6,5,0.17
ours,8,5,0.2
ours,10,5,0.23
ours,12,5,0.26
ours,14,5,0.28
ours,16,5,0.32
ours,18,5,0.36
ours,20,5,0.38
ours,20,5,0.38
ours,30,5,0.52
ours,40,5,0.66
ours,50,5,0.81
ours,60,5,0.94
ours,70,5,1.1
ours,80,5,1.25
ours,90,5,1.39
ours,100,5,1.55
potassco,2,5,0.12
potassco,4,5,0.11
potassco,6,5,0.11
potassco,8,5,0.11
potassco,10,5,0.11
potassco,12,5,0.12
potassco,14,5,0.12
potassco,16,5,0.12
potassco,18,5,0.14
potassco,20,5,0.13
potassco,20,5,0.13
potassco,30,5,0.16
potassco,40,5,0.18
potassco,50,5,0.21
potassco,60,5,0.24
potassco,70,5,0.26
potassco,80,5,0.29
potassco,90,5,0.32
potassco,100,5,0.34
hakank,2,5,0.16
hakank,4,5,0.13
hakank,6,5,0.15
hakank,8,5,0.17
hakank,10,5,0.18
hakank,12,5,0.2
hakank,14,5,0.22
hakank,16,5,0.24
hakank,18,5,0.27
hakank,20,5,0.28
hakank,20,5,0.28
hakank,30,5,0.38
hakank,40,5,0.5
hakank,50,5,0.6
hakank,60,5,0.71
hakank,70,5,0.82
hakank,80,5,0.94
hakank,90,5,1.21
hakank,100,5,1.14
tson,2,5,0.78
tson,4,5,0.54
tson,6,5,0.59
tson,8,5,0.63
tson,10,5,0.67
tson,12,5,0.7
tson,14,5,0.7
tson,16,5,0.74
tson,18,5,0.95
tson,20,5,0.81
tson,20,5,0.82
tson,30,5,1.01
tson,40,5,1.18
tson,50,5,1.54
tson,60,5,1.57
tson,70,5,1.96
tson,80,5,1.97
tson,90,5,2.36
tson,100,5,2.34
ours,2,5,0.11
ours,4,5,0.11
ours,6,5,0.12
ours,8,5,0.12
ours,10,5,0.12
ours,12,5,0.12
ours,14,5,0.13
ours,16,5,0.14
ours,18,5,0.14
ours,20,5,0.15
ours,20,5,0.16
ours,30,5,0.19
ours,40,5,0.23
ours,50,5,0.26
ours,60,5,0.3
ours,70,5,0.36
ours,80,5,0.4
ours,90,5,0.45
ours,100,5,0.49
potassco,2,5,0.14
potassco,4,5,0.15
potassco,6,5,0.17
potassco,8,5,0.19
potassco,10,5,0.21
potassco,12,5,0.23
potassco,14,5,0.21
potassco,16,5,0.22
potassco,18,5,0.24
potassco,20,5,0.26
potassco,20,5,0.26
potassco,30,5,0.35
potassco,40,5,0.44
potassco,50,5,0.53
potassco,60,5,0.61
potassco,70,5,0.7
potassco,80,5,0.8
potassco,90,5,0.89
potassco,100,5,1.08
hakank,2,5,0.14
hakank,4,5,0.14
hakank,6,5,0.16
hakank,8,5,0.18
hakank,10,5,0.19
hakank,12,5,0.21
hakank,14,5,0.4
hakank,16,5,0.25
hakank,18,5,0.27
hakank,20,5,0.29
hakank,20,5,0.3
hakank,30,5,0.4
hakank,40,5,0.52
hakank,50,5,0.6
hakank,60,5,0.69
hakank,70,5,0.8
hakank,80,5,0.9
hakank,90,5,1.02
hakank,100,5,1.12
tson,2,5,0.22
tson,4,5,0.25
tson,6,5,0.22
tson,8,5,0.26
tson,10,5,0.26
tson,12,5,0.23
tson,14,5,0.26
tson,16,5,0.29
tson,18,5,0.31
tson,20,5,0.33
tson,20,5,0.33
tson,30,5,0.44
tson,40,5,0.57
tson,50,5,0.68
tson,60,5,0.8
tson,70,5,0.92
tson,80,5,1.04
tson,90,5,1.16
tson,100,5,1.27
ours,2,5,0.08
ours,4,5,0.1
ours,6,5,0.11
ours,8,5,0.13
ours,10,5,0.15
ours,12,5,0.17
ours,14,5,0.19
ours,16,5,0.21
ours,18,5,0.24
ours,20,5,0.25
ours,20,5,0.25
ours,30,5,0.34
ours,40,5,0.44
ours,50,5,0.53
ours,60,5,0.64
ours,70,5,0.72
ours,80,5,0.8
ours,90,5,0.92
ours,100,5,1.0
potassco,2,5,0.1
potassco,4,5,0.08
potassco,6,5,0.08
potassco,8,5,0.09
potassco,10,5,0.09
potassco,12,5,0.09
potassco,14,5,0.09
potassco,16,5,0.1
potassco,18,5,0.1
potassco,20,5,0.11
potassco,20,5,0.11
potassco,30,5,0.12
potassco,40,5,0.14
potassco,50,5,0.16
potassco,60,5,0.17
potassco,70,5,0.19
potassco,80,5,0.21
potassco,90,5,0.22
potassco,100,5,0.24
hakank,2,5,0.12
hakank,4,5,0.13
hakank,6,5,0.15
hakank,8,5,0.17
hakank,10,5,0.19
hakank,12,5,0.21
hakank,14,5,0.24
hakank,16,5,0.26
hakank,18,5,0.26
hakank,20,5,0.29
hakank,20,5,0.28
hakank,30,5,0.4
hakank,40,5,0.5
hakank,50,5,0.61
hakank,60,5,0.73
hakank,70,5,0.82
hakank,80,5,0.93
hakank,90,5,1.04
hakank,100,5,1.16
tson,2,5,0.27
tson,4,5,0.23
tson,6,5,0.24
tson,8,5,0.23
tson,10,5,0.23
tson,12,5,0.24
tson,14,5,0.25
tson,16,5,0.27
tson,18,5,0.28
tson,20,5,0.46
tson,20,5,0.29
tson,30,5,0.33
tson,40,5,0.39
tson,50,5,0.46
tson,60,5,0.51
tson,70,5,0.57
tson,80,5,0.64
tson,90,5,0.86
tson,100,5,0.76
ours,2,5,0.08
ours,4,5,0.09
ours,6,5,0.11
ours,8,5,0.13
ours,10,5,0.15
ours,12,5,0.17
ours,14,5,0.19
ours,16,5,0.21
ours,18,5,0.23
ours,20,5,0.25
ours,20,5,0.26
ours,30,5,0.34
ours,40,5,0.44
ours,50,5,0.53
ours,60,5,0.63
ours,70,5,0.72
ours,80,5,0.82
ours,90,5,0.93
ours,100,5,1.01
potassco,2,5,0.09
potassco,4,5,0.08
potassco,6,5,0.09
potassco,8,5,0.09
potassco,10,5,0.1
potassco,12,5,0.1
potassco,14,5,0.11
potassco,16,5,0.11
potassco,18,5,0.12
potassco,20,5,0.12
potassco,20,5,0.13
potassco,30,5,0.15
potassco,40,5,0.18
potassco,50,5,0.2
potassco,60,5,0.23
potassco,70,5,0.26
potassco,80,5,0.28
potassco,90,5,0.31
potassco,100,5,0.34
hakank,2,5,0.11
hakank,4,5,0.08
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.09
hakank,12,5,0.1
hakank,14,5,0.1
hakank,16,5,0.11
hakank,18,5,0.12
hakank,20,5,0.13
hakank,20,5,0.13
hakank,30,5,0.16
hakank,40,5,0.16
hakank,50,5,0.19
hakank,60,5,0.21
hakank,70,5,0.24
hakank,80,5,0.26
hakank,90,5,0.3
hakank,100,5,0.32
tson,2,5,12.47
tson,4,5,6.13
tson,6,5,3.81
tson,8,5,4.14
tson,10,5,4.09
tson,12,5,4.06
tson,14,5,4.3
tson,16,5,4.18
tson,18,5,4.47
tson,20,5,4.37
tson,20,5,4.52
tson,30,5,4.87
tson,40,5,5.49
tson,50,5,6.06
tson,60,5,6.48
tson,70,5,7.01
tson,80,5,7.6
tson,90,5,8.0
tson,100,5,8.3
ours,2,5,0.08
ours,4,5,0.09
ours,6,5,0.09
ours,8,5,0.1
ours,10,5,0.11
ours,12,5,0.12
ours,14,5,0.13
ours,16,5,0.15
ours,18,5,0.16
ours,20,5,0.17
ours,20,5,0.17
ours,30,5,0.22
ours,40,5,0.28
ours,50,5,0.33
ours,60,5,0.38
ours,70,5,0.43
ours,80,5,0.49
ours,90,5,0.54
ours,100,5,0.59
potassco,2,5,0.32
potassco,4,5,0.27
potassco,6,5,0.29
potassco,8,5,0.3
potassco,10,5,0.32
potassco,12,5,0.34
potassco,14,5,0.38
potassco,16,5,0.41
potassco,18,5,0.42
potassco,20,5,0.43
potassco,20,5,0.43
potassco,30,5,0.52
potassco,40,5,0.62
potassco,50,5,0.71
potassco,60,5,0.82
potassco,70,5,1.09
potassco,80,5,1.02
potassco,90,5,1.1
potassco,100,5,1.21
hakank,2,5,0.26
hakank,4,5,0.57
hakank,6,5,0.61
hakank,8,5,0.76
hakank,10,5,0.93
hakank,12,5,1.07
hakank,14,5,1.25
hakank,16,5,1.45
hakank,18,5,1.6
hakank,20,5,1.81
hakank,20,5,1.77
hakank,30,5,2.63
hakank,40,5,3.42
hakank,50,5,4.32
hakank,60,5,5.15
hakank,70,5,6.01
hakank,80,5,6.8
hakank,90,5,7.71
hakank,100,5,8.55
tson,2,5,0.14
tson,4,5,0.12
tson,6,5,0.11
tson,8,5,0.12
tson,10,5,0.11
tson,12,5,0.11
tson,14,5,0.12
tson,16,5,0.13
tson,18,5,0.14
tson,20,5,0.15
tson,20,5,0.15
tson,30,5,0.18
tson,40,5,0.21
tson,50,5,0.25
tson,60,5,0.28
tson,70,5,0.35
tson,80,5,0.35
tson,90,5,0.38
tson,100,5,0.42
ours,2,5,0.08
ours,4,5,0.08
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.09
ours,12,5,0.1
ours,14,5,0.11
ours,16,5,0.12
ours,18,5,0.13
ours,20,5,0.14
ours,20,5,0.14
ours,30,5,0.17
ours,40,5,0.2
ours,50,5,0.24
ours,60,5,0.28
ours,70,5,0.31
ours,80,5,0.35
ours,90,5,0.39
ours,100,5,0.42
potassco,2,5,0.21
potassco,4,5,0.11
potassco,6,5,0.1
potassco,8,5,0.1
potassco,10,5,0.1
potassco,12,5,0.11
potassco,14,5,0.11
potassco,16,5,0.12
potassco,18,5,0.13
potassco,20,5,0.13
potassco,20,5,0.14
potassco,30,5,0.16
potassco,40,5,0.19
potassco,50,5,0.22
potassco,60,5,0.24
potassco,70,5,0.28
potassco,80,5,0.3
potassco,90,5,0.33
potassco,100,5,0.36
hakank,2,5,0.11
hakank,4,5,0.13
hakank,6,5,0.15
hakank,8,5,0.17
hakank,10,5,0.19
hakank,12,5,0.23
hakank,14,5,0.24
hakank,16,5,0.28
hakank,18,5,0.3
hakank,20,5,0.33
hakank,20,5,0.33
hakank,30,5,0.47
hakank,40,5,0.6
hakank,50,5,0.73
hakank,60,5,0.86
hakank,70,5,0.99
hakank,80,5,1.11
hakank,90,5,1.27
hakank,100,5,1.4
tson,2,5,0.97
tson,4,5,1.22
tson,6,5,0.9
tson,8,5,0.96
tson,10,5,1.08
tson,12,5,0.99
tson,14,5,1.04
tson,16,5,1.07
tson,18,5,1.33
tson,20,5,1.22
tson,20,5,1.21
tson,30,5,1.46
tson,40,5,1.88
tson,50,5,1.91
tson,60,5,2.28
tson,70,5,2.55
tson,80,5,2.63
tson,90,5,3.1
tson,100,5,3.29
ours,2,5,0.18
ours,4,5,0.18
ours,6,5,0.19
ours,8,5,0.19
ours,10,5,0.2
ours,12,5,0.22
ours,14,5,0.21
ours,16,5,0.23
ours,18,5,0.25
ours,20,5,0.26
ours,20,5,0.26
ours,30,5,0.33
ours,40,5,0.4
ours,50,5,0.47
ours,60,5,0.54
ours,70,5,0.63
ours,80,5,0.88
ours,90,5,0.78
ours,100,5,0.86
potassco,2,5,1.91
potassco,4,5,0.51
potassco,6,5,0.51
potassco,8,5,0.27
potassco,10,5,0.29
potassco,12,5,0.31
potassco,14,5,0.32
potassco,16,5,0.33
potassco,18,5,0.46
potassco,20,5,0.3
potassco,20,5,0.3
potassco,30,5,0.37
potassco,40,5,0.44
potassco,50,5,0.51
potassco,60,5,0.57
potassco,70,5,0.64
potassco,80,5,0.88
potassco,90,5,0.79
potassco,100,5,0.84
hakank,2,5,0.11
hakank,4,5,0.12
hakank,6,5,0.13
hakank,8,5,0.14
hakank,10,5,0.16
hakank,12,5,0.18
hakank,14,5,0.2
hakank,16,5,0.22
hakank,18,5,0.24
hakank,20,5,0.26
hakank,20,5,0.26
hakank,30,5,0.36
hakank,40,5,0.46
hakank,50,5,0.57
hakank,60,5,0.66
hakank,70,5,0.76
hakank,80,5,0.87
hakank,90,5,0.97
hakank,100,5,1.06
tson,2,5,0.96
tson,4,5,1.21
tson,6,5,1.09
tson,8,5,1.15
tson,10,5,1.2
tson,12,5,1.23
tson,14,5,1.27
tson,16,5,1.49
tson,18,5,1.38
tson,20,5,1.42
tson,20,5,1.43
tson,30,5,1.84
tson,40,5,1.95
tson,50,5,2.4
tson,60,5,2.53
tson,70,5,2.93
tson,80,5,3.18
tson,90,5,3.3
tson,100,5,3.71
ours,2,5,0.09
ours,4,5,0.11
ours,6,5,0.13
ours,8,5,0.15
ours,10,5,0.17
ours,12,5,0.19
ours,14,5,0.22
ours,16,5,0.25
ours,18,5,0.27
ours,20,5,0.3
ours,20,5,0.3
ours,30,5,0.41
ours,40,5,0.52
ours,50,5,0.63
ours,60,5,0.76
ours,70,5,0.88
ours,80,5,1.0
ours,90,5,1.13
ours,100,5,1.22
potassco,2,5,4.18
potassco,4,5,0.21
potassco,6,5,0.23
potassco,8,5,0.41
potassco,10,5,0.25
potassco,12,5,0.28
potassco,14,5,0.3
potassco,16,5,0.31
potassco,18,5,0.33
potassco,20,5,0.34
potassco,20,5,0.34
potassco,30,5,0.44
potassco,40,5,0.54
potassco,50,5,0.64
potassco,60,5,0.75
potassco,70,5,1.01
potassco,80,5,0.94
potassco,90,5,1.05
potassco,100,5,1.15
hakank,2,5,0.13
hakank,4,5,0.1
hakank,6,5,0.1
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.09
hakank,14,5,0.1
hakank,16,5,0.1
hakank,18,5,0.11
hakank,20,5,0.11
hakank,20,5,0.11
hakank,30,5,0.13
hakank,40,5,0.12
hakank,50,5,0.14
hakank,60,5,0.15
hakank,70,5,0.17
hakank,80,5,0.18
hakank,90,5,0.2
hakank,100,5,0.22
tson,2,5,0.21
tson,4,5,0.15
tson,6,5,0.17
tson,8,5,0.16
tson,10,5,0.18
tson,12,5,0.18
tson,14,5,0.2
tson,16,5,0.2
tson,18,5,0.23
tson,20,5,0.23
tson,20,5,0.4
tson,30,5,0.28
tson,40,5,0.33
tson,50,5,0.39
tson,60,5,0.44
tson,70,5,0.51
tson,80,5,0.57
tson,90,5,0.61
tson,100,5,0.68
ours,2,5,0.09
ours,4,5,0.11
ours,6,5,0.14
ours,8,5,0.16
ours,10,5,0.18
ours,12,5,0.21
ours,14,5,0.23
ours,16,5,0.26
ours,18,5,0.28
ours,20,5,0.31
ours,20,5,0.3
ours,30,5,0.43
ours,40,5,0.54
ours,50,5,0.67
ours,60,5,0.78
ours,70,5,0.9
ours,80,5,1.03
ours,90,5,1.15
ours,100,5,1.28
potassco,2,5,0.87
potassco,4,5,0.67
potassco,6,5,0.74
potassco,8,5,0.62
potassco,10,5,0.68
potassco,12,5,0.88
potassco,14,5,0.74
potassco,16,5,0.8
potassco,18,5,0.84
potassco,20,5,0.88
potassco,20,5,0.88
potassco,30,5,1.25
potassco,40,5,1.27
potassco,50,5,1.5
potassco,60,5,1.89
potassco,70,5,1.91
potassco,80,5,2.3
potassco,90,5,2.32
potassco,100,5,2.73
hakank,2,5,0.09
hakank,4,5,0.09
hakank,6,5,0.1
hakank,8,5,0.11
hakank,10,5,0.12
hakank,12,5,0.13
hakank,14,5,0.14
hakank,16,5,0.14
hakank,18,5,0.15
hakank,20,5,0.17
hakank,20,5,0.16
hakank,30,5,0.2
hakank,40,5,0.25
hakank,50,5,0.3
hakank,60,5,0.35
hakank,70,5,0.39
hakank,80,5,0.44
hakank,90,5,0.5
hakank,100,5,0.54
tson,2,5,14.11
tson,4,5,1.95
tson,6,5,1.55
tson,8,5,1.61
tson,10,5,1.53
tson,12,5,1.31
tson,14,5,1.33
tson,16,5,1.38
tson,18,5,1.44
tson,20,5,1.31
tson,20,5,1.31
tson,30,5,1.46
tson,40,5,1.86
tson,50,5,1.9
tson,60,5,2.3
tson,70,5,2.31
tson,80,5,2.71
tson,90,5,2.94
tson,100,5,3.14
ours,2,5,0.07
ours,4,5,0.07
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.09
ours,12,5,0.11
ours,14,5,0.11
ours,16,5,0.13
ours,18,5,0.13
ours,20,5,0.15
ours,20,5,0.14
ours,30,5,0.19
ours,40,5,0.23
ours,50,5,0.27
ours,60,5,0.31
ours,70,5,0.35
ours,80,5,0.4
ours,90,5,0.45
ours,100,5,0.49
potassco,2,5,0.07
potassco,4,5,0.09
potassco,6,5,0.11
potassco,8,5,0.12
potassco,10,5,0.14
potassco,12,5,0.15
potassco,14,5,0.17
potassco,16,5,0.22
potassco,18,5,0.26
potassco,20,5,0.28
potassco,20,5,0.28
potassco,30,5,0.39
potassco,40,5,0.5
potassco,50,5,0.61
potassco,60,5,0.71
potassco,70,5,0.83
potassco,80,5,0.95
potassco,90,5,1.07
potassco,100,5,1.18
hakank,2,5,0.08
hakank,4,5,0.08
hakank,6,5,0.07
hakank,8,5,0.07
hakank,10,5,0.07
hakank,12,5,0.08
hakank,14,5,0.08
hakank,16,5,0.08
hakank,18,5,0.08
hakank,20,5,0.08
hakank,20,5,0.09
hakank,30,5,0.1
hakank,40,5,0.11
hakank,50,5,0.12
hakank,60,5,0.14
hakank,70,5,0.14
hakank,80,5,0.16
hakank,90,5,0.17
hakank,100,5,0.18
tson,2,5,0.1
tson,4,5,0.1
tson,6,5,0.08
tson,8,5,0.08
tson,10,5,0.08
tson,12,5,0.08
tson,14,5,0.08
tson,16,5,0.09
tson,18,5,0.09
tson,20,5,0.09
tson,20,5,0.09
tson,30,5,0.12
tson,40,5,0.12
tson,50,5,0.13
tson,60,5,0.15
tson,70,5,0.16
tson,80,5,0.17
tson,90,5,0.19
tson,100,5,0.21
ours,2,5,0.11
ours,4,5,0.13
ours,6,5,0.14
ours,8,5,0.16
ours,10,5,0.18
ours,12,5,0.21
ours,14,5,0.23
ours,16,5,0.25
ours,18,5,0.28
ours,20,5,0.31
ours,20,5,0.3
ours,30,5,0.42
ours,40,5,0.53
ours,50,5,0.65
ours,60,5,0.77
ours,70,5,0.88
ours,80,5,1.01
ours,90,5,1.12
ours,100,5,1.23
potassco,2,5,0.11
potassco,4,5,0.13
potassco,6,5,0.15
potassco,8,5,0.17
potassco,10,5,0.19
potassco,12,5,0.21
potassco,14,5,0.22
potassco,16,5,0.24
potassco,18,5,0.26
potassco,20,5,0.29
potassco,20,5,0.29
potassco,30,5,0.39
potassco,40,5,0.49
potassco,50,5,0.59
potassco,60,5,0.7
potassco,70,5,0.79
potassco,80,5,0.9
potassco,90,5,0.99
potassco,100,5,1.1
hakank,2,5,0.15
hakank,4,5,0.12
hakank,6,5,0.11
hakank,8,5,0.11
hakank,10,5,0.12
hakank,12,5,0.13
hakank,14,5,0.13
hakank,16,5,0.14
hakank,18,5,0.14
hakank,20,5,0.15
hakank,20,5,0.15
hakank,30,5,0.19
hakank,40,5,0.23
hakank,50,5,0.27
hakank,60,5,0.32
hakank,70,5,0.36
hakank,80,5,0.39
hakank,90,5,0.44
hakank,100,5,0.48
tson,2,5,0.48
tson,4,5,0.53
tson,6,5,0.58
tson,8,5,0.63
tson,10,5,0.68
tson,12,5,0.74
tson,14,5,0.77
tson,16,5,1.01
tson,18,5,0.88
tson,20,5,0.93
tson,20,5,0.94
tson,30,5,1.35
tson,40,5,1.43
tson,50,5,1.66
tson,60,5,2.04
tson,70,5,2.32
tson,80,5,2.39
tson,90,5,2.8
tson,100,5,3.01
ours,2,5,0.07
ours,4,5,0.08
ours,6,5,0.08
ours,8,5,0.09
ours,10,5,0.1
ours,12,5,0.11
ours,14,5,0.12
ours,16,5,0.14
ours,18,5,0.15
ours,20,5,0.15
ours,20,5,0.16
ours,30,5,0.2
ours,40,5,0.25
ours,50,5,0.29
ours,60,5,0.34
ours,70,5,0.39
ours,80,5,0.43
ours,90,5,0.49
ours,100,5,0.53
potassco,2,5,2.59
potassco,4,5,1.57
potassco,6,5,1.57
potassco,8,5,1.79
potassco,10,5,1.68
potassco,12,5,1.0
potassco,14,5,1.03
potassco,16,5,1.06
potassco,18,5,1.11
potassco,20,5,1.3
potassco,20,5,1.14
potassco,30,5,1.32
potassco,40,5,1.51
potassco,50,5,1.88
potassco,60,5,1.87
potassco,70,5,2.21
potassco,80,5,2.23
potassco,90,5,2.41
potassco,100,5,2.6
hakank,2,5,0.09
hakank,4,5,0.1
hakank,6,5,0.12
hakank,8,5,0.14
hakank,10,5,0.16
hakank,12,5,0.19
hakank,14,5,0.2
hakank,16,5,0.26
hakank,18,5,0.3
hakank,20,5,0.32
hakank,20,5,0.32
hakank,30,5,0.45
hakank,40,5,0.59
hakank,50,5,0.72
hakank,60,5,0.84
hakank,70,5,0.95
hakank,80,5,1.1
hakank,90,5,1.23
hakank,100,5,1.36
tson,2,5,2.73
tson,4,5,2.63
tson,6,5,2.79
tson,8,5,2.86
tson,10,5,3.08
tson,12,5,3.49
tson,14,5,3.57
tson,16,5,3.86
tson,18,5,3.82
tson,20,5,4.03
tson,20,5,3.89
tson,30,5,4.52
tson,40,5,4.96
tson,50,5,5.25
tson,60,5,5.86
tson,70,5,4.71
tson,80,5,5.37
tson,90,5,5.72
tson,100,5,6.11
ours,2,5,0.1
ours,4,5,0.09
ours,6,5,0.09
ours,8,5,0.09
ours,10,5,0.1
ours,12,5,0.11
ours,14,5,0.11
ours,16,5,0.13
ours,18,5,0.14
ours,20,5,0.15
ours,20,5,0.15
ours,30,5,0.2
ours,40,5,0.23
ours,50,5,0.27
ours,60,5,0.31
ours,70,5,0.35
ours,80,5,0.39
ours,90,5,0.43
ours,100,5,0.47
potassco,2,5,1.23
potassco,4,5,0.55
potassco,6,5,0.63
potassco,8,5,0.61
potassco,10,5,0.46
potassco,12,5,0.48
potassco,14,5,0.48
potassco,16,5,0.68
potassco,18,5,0.53
potassco,20,5,0.55
potassco,20,5,0.54
potassco,30,5,0.67
potassco,40,5,0.78
potassco,50,5,1.08
potassco,60,5,1.06
potassco,70,5,1.19
potassco,80,5,1.47
potassco,90,5,1.37
potassco,100,5,1.55
hakank,2,5,0.12
hakank,4,5,0.28
hakank,6,5,0.09
hakank,8,5,0.09
hakank,10,5,0.1
hakank,12,5,0.1
hakank,14,5,0.09
hakank,16,5,0.1
hakank,18,5,0.11
hakank,20,5,0.11
hakank,20,5,0.11
hakank,30,5,0.13
hakank,40,5,0.15
hakank,50,5,0.18
hakank,60,5,0.2
hakank,70,5,0.22
hakank,80,5,0.24
hakank,90,5,0.27
hakank,100,5,0.29
tson,2,5,0.13
tson,4,5,0.14
tson,6,5,0.15
tson,8,5,0.15
tson,10,5,0.17
tson,12,5,0.18
tson,14,5,0.19
tson,16,5,0.53
tson,18,5,0.64
tson,20,5,1.02
tson,20,5,0.98
