number_of_examples,time
2,0.06
10,0.04
20,0.06
30,0.08
40,0.08
50,0.1
60,0.12
70,0.13
80,0.14
90,0.15
100,0.17
110,0.18
120,0.2
130,0.21
140,0.22
150,0.24
160,0.27
170,0.29
180,0.3
190,0.32
200,0.33
