number_of_examples,time
2,0.1
10,0.36
20,0.71
30,1.07
40,1.43
50,1.76
60,2.09
70,2.5
80,2.82
90,3.16
100,3.5
110,3.84
120,4.21
130,4.58
140,4.95
150,5.3
160,5.63
170,5.97
180,6.35
190,6.71
200,7.05
210,7.42
220,7.77
230,8.14
240,8.41
250,8.78
260,9.16
270,9.48
280,9.83
290,10.21
300,10.59
310,10.94
320,11.26
330,11.6
340,12.0
350,12.4
360,12.75
370,13.08
380,13.5
390,13.84
400,14.19
410,14.6
420,14.95
430,15.27
440,15.66
450,16.05
460,16.4
470,16.86
480,17.32
490,17.69
500,18.11
