number_of_examples,time
2,0.07
10,0.21
20,0.4
30,0.61
40,0.8
50,1.0
60,1.21
70,1.4
80,1.58
90,1.77
100,1.96
110,2.16
120,2.35
130,2.55
140,2.75
150,2.97
160,3.16
170,3.35
180,3.54
190,3.75
200,3.97
210,4.17
220,4.37
230,4.57
240,4.78
250,4.99
260,5.16
270,5.35
280,5.58
290,5.77
300,5.96
310,6.1
320,6.32
330,6.51
340,6.71
350,6.89
360,7.1
370,7.34
380,7.52
390,7.7
400,7.86
410,8.15
420,8.32
430,8.54
440,8.74
450,8.98
460,9.11
470,9.36
480,9.6
490,9.99
500,9.96
