number_of_examples,time
2,0.04
10,0.12
20,0.23
30,0.35
40,0.45
50,0.54
60,0.65
70,0.75
80,0.87
90,0.97
100,1.08
110,1.19
120,1.29
130,1.41
140,1.71
150,1.62
160,1.71
170,1.81
180,1.95
190,2.04
200,2.14
210,2.23
220,2.36
230,2.46
240,2.55
250,2.67
260,2.78
270,2.89
280,2.99
290,3.1
300,3.21
310,3.31
320,3.44
330,3.51
340,3.66
350,3.74
360,3.87
370,3.94
380,4.08
390,4.19
400,4.29
410,4.41
420,4.51
430,4.6
440,4.69
450,4.79
460,4.96
470,5.05
480,5.15
490,5.27
500,5.39
