task,#examples,#sketched,#solutions,#before_dominance
hakank,50,5,6,30
hakank,60,5,6,30
hakank,70,5,6,30
hakank,80,5,6,30
hakank,90,5,6,30
hakank,100,5,6,30
tson,2,5,16,486
tson,4,5,16,486
tson,6,5,14,414
tson,8,5,14,414
tson,10,5,14,414
tson,12,5,14,414
tson,14,5,14,414
tson,16,5,14,414
tson,18,5,14,414
tson,20,5,14,414
tson,20,5,14,414
tson,30,5,14,414
tson,40,5,14,414
tson,50,5,14,414
tson,60,5,14,414
tson,70,5,14,414
tson,80,5,14,414
tson,90,5,14,414
tson,100,5,14,414
ours,2,5,7,81
ours,4,5,7,63
ours,6,5,7,63
ours,8,5,7,63
ours,10,5,7,63
ours,12,5,7,63
ours,14,5,7,63
ours,16,5,7,63
ours,18,5,7,63
ours,20,5,7,63
ours,20,5,7,63
ours,30,5,7,63
ours,40,5,7,63
ours,50,5,7,63
ours,60,5,7,63
ours,70,5,7,63
ours,80,5,7,63
ours,90,5,7,63
ours,100,5,7,63
potassco,2,5,77,1311
potassco,4,5,66,901
potassco,6,5,66,901
potassco,8,5,66,901
potassco,10,5,66,689
potassco,12,5,66,689
potassco,14,5,66,689
potassco,16,5,66,689
potassco,18,5,66,689
potassco,20,5,66,689
potassco,20,5,66,689
potassco,30,5,66,583
potassco,40,5,66,583
potassco,50,5,66,583
potassco,60,5,66,583
potassco,70,5,66,583
potassco,80,5,66,583
potassco,90,5,66,583
potassco,100,5,66,583
hakank,2,5,30,399
hakank,4,5,20,221
hakank,6,5,20,135
hakank,8,5,20,135
hakank,10,5,20,135
hakank,12,5,20,135
hakank,14,5,20,117
hakank,16,5,20,117
hakank,18,5,20,117
hakank,20,5,20,117
hakank,20,5,20,117
hakank,30,5,16,78
hakank,40,5,16,78
hakank,50,5,16,78
hakank,60,5,16,78
hakank,70,5,16,78
hakank,80,5,16,78
hakank,90,5,16,78
hakank,100,5,16,78
tson,2,5,28,1701
tson,4,5,26,1617
tson,6,5,26,1617
tson,8,5,26,1617
tson,10,5,26,1617
tson,12,5,26,1617
tson,14,5,24,1533
tson,16,5,24,1533
tson,18,5,24,1533
tson,20,5,24,1533
tson,20,5,24,1533
tson,30,5,24,1533
tson,40,5,24,1533
tson,50,5,24,1533
tson,60,5,24,1533
tson,70,5,24,1533
tson,80,5,24,1533
tson,90,5,24,1533
tson,100,5,24,1533
ours,2,5,10,66
ours,4,5,10,66
ours,6,5,10,66
ours,8,5,10,66
ours,10,5,10,66
ours,12,5,10,66
ours,14,5,10,66
ours,16,5,10,66
ours,18,5,10,66
ours,20,5,10,66
ours,20,5,10,66
ours,30,5,10,66
ours,40,5,10,66
ours,50,5,10,66
ours,60,5,10,66
ours,70,5,10,66
ours,80,5,10,66
ours,90,5,10,66
ours,100,5,10,66
potassco,2,5,24,1512
potassco,4,5,24,1302
potassco,6,5,24,1236
potassco,8,5,24,1236
potassco,10,5,24,1236
potassco,12,5,24,1236
potassco,14,5,24,1236
potassco,16,5,24,1236
potassco,18,5,24,1236
potassco,20,5,24,1236
potassco,20,5,24,1236
potassco,30,5,24,1236
potassco,40,5,24,1218
potassco,50,5,24,1218
potassco,60,5,24,1218
potassco,70,5,24,1218
potassco,80,5,24,1218
potassco,90,5,24,1218
potassco,100,5,24,1218
hakank,2,5,16,96
hakank,4,5,14,84
hakank,6,5,10,60
hakank,8,5,10,60
hakank,10,5,6,36
hakank,12,5,6,36
hakank,14,5,6,36
hakank,16,5,6,36
hakank,18,5,2,12
hakank,20,5,2,12
hakank,20,5,2,12
hakank,30,5,2,12
hakank,40,5,2,12
hakank,50,5,2,6
hakank,60,5,2,6
hakank,70,5,2,6
hakank,80,5,2,6
hakank,90,5,2,6
hakank,100,5,2,6
tson,2,5,30,135
tson,4,5,24,72
tson,6,5,10,30
tson,8,5,10,30
tson,10,5,8,24
tson,12,5,8,24
tson,14,5,8,24
tson,16,5,8,24
tson,18,5,8,24
tson,20,5,8,24
tson,20,5,8,24
tson,30,5,8,24
tson,40,5,8,24
tson,50,5,8,24
tson,60,5,8,24
tson,70,5,8,24
tson,80,5,8,24
tson,90,5,8,24
tson,100,5,8,24
ours,2,5,29,540
ours,4,5,25,423
ours,6,5,24,375
ours,8,5,24,375
ours,10,5,23,354
ours,12,5,23,336
ours,14,5,23,336
ours,16,5,23,336
ours,18,5,23,336
ours,20,5,23,336
ours,20,5,23,336
ours,30,5,23,330
ours,40,5,23,330
ours,50,5,23,330
ours,60,5,23,330
ours,70,5,23,330
ours,80,5,23,330
