task,#examples,#sketched,#solutions,#before_dominance
hakank,16,5,2,6
hakank,18,5,2,6
hakank,20,5,2,6
hakank,20,5,2,6
hakank,30,5,2,6
hakank,40,5,2,6
hakank,50,5,2,6
hakank,60,5,2,6
hakank,70,5,2,6
hakank,80,5,2,6
hakank,90,5,2,6
hakank,100,5,2,6
tson,2,5,36,1241
tson,4,5,36,1241
tson,6,5,36,1173
tson,8,5,36,1071
tson,10,5,36,1003
tson,12,5,36,1003
tson,14,5,36,969
tson,16,5,36,969
tson,18,5,36,969
tson,20,5,36,969
tson,20,5,36,969
tson,30,5,36,969
tson,40,5,36,969
tson,50,5,36,969
tson,60,5,36,969
tson,70,5,36,969
tson,80,5,36,969
tson,90,5,36,969
tson,100,5,36,969
ours,2,5,6,54
ours,4,5,4,36
ours,6,5,4,36
ours,8,5,4,36
ours,10,5,4,36
ours,12,5,4,36
ours,14,5,4,36
ours,16,5,4,36
ours,18,5,4,36
ours,20,5,4,36
ours,20,5,4,36
ours,30,5,4,36
ours,40,5,4,36
ours,50,5,4,36
ours,60,5,4,36
ours,70,5,4,36
ours,80,5,4,36
ours,90,5,4,36
ours,100,5,4,36
potassco,2,5,24,1197
potassco,4,5,22,1029
potassco,6,5,22,987
potassco,8,5,22,945
potassco,10,5,22,861
potassco,12,5,22,861
potassco,14,5,22,861
potassco,16,5,22,861
potassco,18,5,22,861
potassco,20,5,22,861
potassco,20,5,22,861
potassco,30,5,22,861
potassco,40,5,22,861
potassco,50,5,22,861
potassco,60,5,22,861
potassco,70,5,22,861
potassco,80,5,22,861
potassco,90,5,22,861
potassco,100,5,22,861
hakank,2,5,10,30
hakank,4,5,2,6
hakank,6,5,2,6
hakank,8,5,2,6
hakank,10,5,2,6
hakank,12,5,2,6
hakank,14,5,2,6
hakank,16,5,2,6
hakank,18,5,2,6
hakank,20,5,2,6
hakank,20,5,2,6
hakank,30,5,2,6
hakank,40,5,2,6
hakank,50,5,2,6
hakank,60,5,2,6
hakank,70,5,2,6
hakank,80,5,2,6
hakank,90,5,2,6
hakank,100,5,2,6
tson,2,5,12,72
tson,4,5,6,36
tson,6,5,6,36
tson,8,5,6,36
tson,10,5,6,18
tson,12,5,4,12
tson,14,5,4,12
tson,16,5,4,12
tson,18,5,4,12
tson,20,5,4,12
tson,20,5,4,12
tson,30,5,4,12
tson,40,5,4,12
tson,50,5,4,12
tson,60,5,4,12
tson,70,5,4,12
tson,80,5,4,12
tson,90,5,4,12
tson,100,5,4,12
ours,2,5,4,36
ours,4,5,4,36
ours,6,5,4,36
ours,8,5,4,36
ours,10,5,4,36
