number_of_examples,time
2,0.19
10,0.85
20,1.77
30,2.66
40,3.56
50,4.47
60,5.39
70,6.27
80,7.27
90,8.2
100,9.15
110,10.07
120,11.02
130,11.89
140,12.86
150,13.75
160,14.6
170,15.79
180,16.59
190,17.69
200,18.67
